"","rank20_national_1992_compound","rank20_national_1998_compound","rank20_national_2003_compound","rank20_national_2008_compound","rank20_national_2014_compound"
"1","Methyl Bromide","Sulfur","Glyphosate","Glyphosate","Glyphosate"
"2","Atrazine","Atrazine","Petroleum Oil","Atrazine","Atrazine"
"3","Sulfur","Petroleum Oil","Atrazine","Dichloropropene","Sulfur"
"4","Metolachlor","Metam","Sulfur","Petroleum Oil","Dichloropropene"
"5","Alachlor","Methyl Bromide","Metam","Sulfur","Metolachlor-S"
"6","Dichloropropene","Glyphosate","Sulfuric Acid","Metam","Metam"
"7","Metam","Metolachlor","Dichloropropene","Acetochlor","Petroleum Oil"
"8","Petroleum Oil","2,4-D","2,4-D","Metolachlor-S","Acetochlor"
"9","Cyanazine","Acetochlor","Acetochlor","2,4-D","2,4-D"
"10","2,4-D","Dichloropropene","Metolachlor-S","Metam Potassium","Metam Potassium"
"11","Trifluralin","Pendimethalin","Methyl Bromide","Chloropicrin","Chloropicrin"
"12","Pendimethalin","Trifluralin","Chloropicrin","Chlorpyrifos","Sulfuric Acid"
"13","EPTC","Cyanazine","Pendimethalin","Pendimethalin","Pendimethalin"
"14","Glyphosate","Alachlor","Trifluralin","Methyl Bromide","Metolachlor"
"15","Chlorpyrifos","EPTC","Alachlor","Chlorothalonil","Trifluralin"
"16","Butylate","Metolachlor-S","Chlorpyrifos","Simazine","Chlorothalonil"
"17","Propanil","Chlorothalonil","Mancozeb","Trifluralin","Paraquat"
"18","Chlorothalonil","Chlorpyrifos","Simazine","Paraquat","Chlorpyrifos"
"19","Terbufos","Copper Hydroxide","Chlorothalonil","Mancozeb","Simazine"
"20","Sodium Chlorate","Dimethenamid","Copper Hydroxide","Metolachlor","EPTC"
